127.0.0.1 - - [22/Apr/2024:09:02:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:02:19 +0900] "GET /webproject/0_day5/mission1_question_html.html HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:02:19 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:03:20 +0900] "GET /webproject/0_day5/mission1_question_html.html HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:03:20 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:03:20 +0900] "GET /webproject/0_day5/ch3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:03:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:08:25 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 3417
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:08:32 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:08:32 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:08:33 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:08:33 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:09:15 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 3363
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:09:15 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:09:16 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:09:17 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:09:37 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 3363
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:09:37 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:09:41 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 3363
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:11:08 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 3486
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:11:08 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:11:16 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:11:35 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:11:35 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:11:44 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:11:44 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:12:48 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 3480
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:12:48 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:12:48 +0900] "GET /webproject/0_day5/ch3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:13:58 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 3527
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:13:58 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:13:58 +0900] "GET /webproject/0_day5/ch3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:15:16 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:15:16 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:15:16 +0900] "GET /webproject/0_day5/ch3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:17:11 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 3818
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:17:11 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:17:11 +0900] "GET /webproject/0_day5/ch3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:17:21 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:17:21 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:17:21 +0900] "GET /webproject/0_day5/ch3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:19:01 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 3833
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:19:50 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 3849
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:19:50 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 200 10062
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:19:50 +0900] "GET /webproject/0_day5/ch3.png HTTP/1.1" 200 11744
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:20:21 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 3846
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:20:21 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 200 10062
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:20:21 +0900] "GET /webproject/0_day5/ch3.png HTTP/1.1" 200 11744
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:20:32 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 3858
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:20:32 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 200 10062
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:20:32 +0900] "GET /webproject/0_day5/ch3.png HTTP/1.1" 200 11744
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:20:45 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 3859
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:20:45 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 200 10062
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:20:45 +0900] "GET /webproject/0_day5/ch3.png HTTP/1.1" 200 11744
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:22:05 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 3883
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:22:05 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:22:05 +0900] "GET /webproject/0_day5/ch3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:24:05 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 4018
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:24:05 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:24:05 +0900] "GET /webproject/0_day5/ch3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:24:10 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 4018
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:24:10 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 200 10062
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:24:10 +0900] "GET /webproject/0_day5/ch3.png HTTP/1.1" 200 11744
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:24:11 +0900] "GET /webproject/0_day5/mission1_question.html HTTP/1.1" 200 4018
0:0:0:0:0:0:0:1 - - [22/Apr/2024:09:24:11 +0900] "GET /webproject/0_day5/ch2.png HTTP/1.1" 200 10062
