127.0.0.1 - - [30/May/2024:15:05:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/May/2024:15:05:50 +0900] "GET /jhmovieproject/index.jsp HTTP/1.1" 200 4113
0:0:0:0:0:0:0:1 - - [30/May/2024:15:05:50 +0900] "GET /jhmovieproject/static/images/poster/poster0.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:05:50 +0900] "GET /jhmovieproject/static/images/poster/poster3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:05:50 +0900] "GET /jhmovieproject/static/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:05:50 +0900] "GET /jhmovieproject/static/images/poster/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:05:50 +0900] "GET /jhmovieproject/static/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:05:50 +0900] "GET /jhmovieproject/static/images/poster/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:05:50 +0900] "GET /jhmovieproject/static/images/poster/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:05:50 +0900] "GET /jhmovieproject/static/images/poster/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:05:50 +0900] "GET /jhmovieproject/static/images/poster/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:05:50 +0900] "GET /jhmovieproject/static/images/poster/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:05:51 +0900] "GET /jhmovieproject/static/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:05:51 +0900] "GET /jhmovieproject/static/images/playmovie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:06:23 +0900] "GET /jhmovieproject/book/reservation.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:06:23 +0900] "GET /jhmovieproject/auth/login.do HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [30/May/2024:15:06:28 +0900] "POST /jhmovieproject/auth/login.do HTTP/1.1" 200 4121
0:0:0:0:0:0:0:1 - - [30/May/2024:15:06:35 +0900] "GET /jhmovieproject/book/reservation.do HTTP/1.1" 200 10307
0:0:0:0:0:0:0:1 - - [30/May/2024:15:06:35 +0900] "GET /jhmovieproject/static/css/reservation.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:06:38 +0900] "GET /jhmovieproject/movie/movieList HTTP/1.1" 200 8684
0:0:0:0:0:0:0:1 - - [30/May/2024:15:06:38 +0900] "GET /jhmovieproject/static/css/movie.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:06:38 +0900] "GET /jhmovieproject/static/images/poster/7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:06:39 +0900] "GET /jhmovieproject/static/images/poster/9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:06:39 +0900] "GET /jhmovieproject/static/images/poster/11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:06:39 +0900] "GET /jhmovieproject/static/images/poster/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:06:39 +0900] "GET /jhmovieproject/static/images/poster/10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:06:45 +0900] "POST /jhmovieproject/movie/insertMyMovie.do HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [30/May/2024:15:06:46 +0900] "GET /jhmovieproject/movie/movieList HTTP/1.1" 200 8684
0:0:0:0:0:0:0:1 - - [30/May/2024:15:06:48 +0900] "GET /jhmovieproject/member/myPage.do HTTP/1.1" 200 6133
0:0:0:0:0:0:0:1 - - [30/May/2024:15:06:48 +0900] "GET /jhmovieproject/static/css/myPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:15:07:01 +0900] "GET /jhmovieproject/ HTTP/1.1" 200 4121
0:0:0:0:0:0:0:1 - - [30/May/2024:15:50:43 +0900] "GET /myapp/emp/empAll.do HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [30/May/2024:15:51:35 +0900] "GET /shoppingmall/home.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [30/May/2024:15:51:56 +0900] "GET /shoppingmall/ HTTP/1.1" 404 824
