127.0.0.1 - - [09/Jun/2024:15:22:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Jun/2024:15:22:19 +0900] "GET /webshop3/jsp/order.go HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [09/Jun/2024:15:22:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Jun/2024:15:22:33 +0900] "POST /webshop3/jsp/order.go HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [09/Jun/2024:15:22:35 +0900] "GET /webshop3/jsp/order.go HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [09/Jun/2024:15:22:40 +0900] "POST /webshop3/jsp/order.go HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [09/Jun/2024:15:22:42 +0900] "GET /webshop3/jsp/order.go HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [09/Jun/2024:15:23:03 +0900] "POST /webshop3/jsp/order.go HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [09/Jun/2024:15:23:13 +0900] "GET /webshop3/jsp/order.go HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [09/Jun/2024:15:23:14 +0900] "POST /webshop3/jsp/order.go HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [09/Jun/2024:15:23:16 +0900] "GET /webshop3/jsp/order.go HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [09/Jun/2024:15:23:17 +0900] "POST /webshop3/jsp/order.go HTTP/1.1" 200 619
